original,replacement
pssi,persatuan sepakbola seluruh indonesia
dco,dibeli
biasalah,biasanya
vs,versus
official,resmi
bersabarrr,bersabar
menjatugkan,menjatuhkan
akeh,banyak
sg,yang
yo ,juga
nk,kalau
ojo,tidak usah 
memnaca,membaca
gedek,kesal
hashtag,tagar
mager,malas gerak
chaos,kacau
extra,ekstra
millennial,milenial
sop,standar operasional prosedur
ngopi,minum kopi
rw,rukun warga
hello,halo
hallo,halo
hy,hai
hatespeech,ujaran kebencian
dds,kunjungan dari rumah ke rumah
binaanya,binaannya
kab,kabupaten
kec,kecamatan
kel,kelurahan
tinggl,tinggal
lngsung,langsung
lgsung,langsung
lgsg,langsung
tecantum,tercantum
mnding,mending
hpus,hapus
hps,hapus
kaliannn,kalian
protapnya,prosedur tetapnya
panser,kendaraan tempur lapis baja
barracuda,kendaraan tempur lapis baja
mudoratnya,mudaratnya
ama,sama
sm,sama
pingin,ingin
pengen,ingin
pemakzulan,pemberhentian
makzulin,berhentikan
dimakzulkan,diberhentikan
bhkan,bahkan
or,atau
ditelen,ditelan
tl,halaman utama
nebar,menebar
wte,waktu untuk berkumpul
gaenak,tidak enak
melek,sadar
terina,terima
gede,besar
sender,pengirim
rohil,rokan hilir
leaflet,selebaran
nervous,gugup
reply,membalas
rs,rumah sakit
simpatisan,pendukung
pendkung,pendukung
pndkung,pendukung
wib,waktu indonesia bagian barat
wit,waktu indonesia bagian timur
wita,waktu indonesia bagian tengah
banit,anggota
bintibsos,bintara pembina keamanan dan ketertiban masyarakat
dubes,duta besar
apalg,apalagi
receh,remeh
tpp,tim pemberdayaan pembangunan
kemendes,kementerian desa
d,di
mulu,melulu
highlight,sorotan
mafindo,masyarakat anti  fitnah indonesia
fisip,fakultas ilmu sosial dan politik
framing ,desain
proportional,proporsional
akbp,ajun komisaris besar polisi
akuntable,dapat dipertanggungjawabkan
culture,budaya
ops,operasi
ngitung,menghitung
km,kamu
krg,kurang
rl,kehidupan nyata
mention,menyebut
ull,kamu akan
find,menemukan
urself,dirimu
di,di
called,panggil
sok,belagak
all in,totalitas
sdri,sendiri
dubbling,mengisi suara
sambang,melakukan penyuluhan
th,tahun
pemulu,pemilihan umum
pehelatan,penyelenggaraan
kak,kakak
mba,kakak
mbak,kakak
wasdapai,waspadai
nyebar,menyebar
ciptakan,menciptakan
eks,mantan
deket,dekat
vgh,villa gading harapan
kultus,penyembahan
kadrun,politisi yang tidak konsisten
tag,menandai
semalem,semalam
sms,layanan pesan singkat
nyenggol,menyentuh
aalah,alah
science,ilmu pengetahuan
ngeriii,mengerikan
masyarakt,masyarakat
msyrkt,masyarakat
walopun,walaupun
ngawal,mengawal
dijembrengin,disajikan
kelar,selesai
biar,agar
politic,politik
iz,itu
dirty,kotor
keburukkan,keburukan
milih,memilih
yok,mari
sambangi,mengunjungi
congornya,mulut nya
ngomongin,membicarakan
ngm,bicara
thread,pembahasan
like wtf,seperti tidak masuk akal
fearmongering,menyebarkan ketakutan
tiap,setiap
diwanti,diingatkan
pinteran,lebih cerdas
ngurus,mengurus
komen,komentar
gerakin,menggerakan
syaraf,saraf
berjamaah,berjemaah
wondering,heran
explicitly,secara eksplisit
new,berita
berati,berarti
insane,gila
theseday,akhir akhir ini
macem,macam
loser,pecundang
pmenang,pemenang
alesan,alasan
napas,nafas
psati,pasti
psti,pasti
pst,pasti
melenceng,menyimpang dari arah yang seharusnya
ngeyel,sulit diberi tahu
skali,sekali
skl,sekali
skli,sekali
tnp,tanpa
sbt,sebut
hr,hari
circle,grup
omon,omongan
respect,hormat
doyan,gemar sekali
nefara,negara
dini,sini
dp,dengan uang muka
dbilang,dikatakan
ortunya,orang tua nya
pr ,pekerjaan rumah
ajuin,mengajukan
hkm,hukum
ph ,pengacara
kta,kartu tanda advokat
penyiar,penyebar
nyalahin,menyalahkan
kedunguan,kebodohan
ikeh,oleh
akherat,akhirat
merubah,mengubah
kenak,bersentuhan
kena,terkena
sangsi,sanksi
nihbsalah,nih salah
nihh,nih
ni,nih
teraebut,tersebut
tsb,tersebut
sarat,syarat
demen,suka
brutalitas,kebrutalan
ecek ecek,tidak sungguh sungguh
sampeyan,anda
ente,anda
pahari,saat ini
kanit,kepala unit
ms,nyonya
janggar,ganjar
janggaran,ganjar
membully,menindas
hoaxampfitnah,hoaks sampai fitnah
sbb,sebagai berikut
menkes,menteri kesehatan
polling,pemungutan suara
institute,insitut
paska,pasca
cyber,siber
dipenjarakrn,dipenjara karena
kesalahnya,kesalahannya
kesalahnyadr,kesalahannya dari
prank,tipu daya
lntambangesemka,luar negeri tambang sekolah menengah kejuruan
lap ker,lapangan kerja
chinabansosbltterakhir,china bantuan sosial bantuan langsung tunai terakhir
kepdes,kepala desa
kades,kepala desa
k,ke
gbk,gelora bung karno
ngajak,mengajak
jokowitak,jokowi tidak
sptygg,seperti yang
mosok,apakah benar
masak,masa
statement,pernyataan
stress,stres
senengnya,senangnya
seneng,senang
dicounter,ditanggapi
mengcounter,menanggapi
mak banteng,ibu banteng
hilalnya,kemunculannya
kondang,populer
kluar,keluar
y,iya
ya,iya
yee,iya
yaps,iya
ny,nya
begonya,bodohnya
pea,bodoh
manasin,memanaskan
dimk,di mahkamah konstitusi
matiin,matikan
presidenwapres,presiden wakil presiden
provok,provokasi
mhn,mohon
sgr,segera
secemen,secetek mental
dijogedin,dijogetin
base,komunitas
akbt,akibat
modiyar,modar 
kon,kamu
ugalan,serampangan
kebijakn,kebijakan
bathil,batil
legowo,legawa
ngeselengarain,menyelenggarakan
hub,hubungan
hubunga,hubungan
hubnganya,hubungannya
ati,hati
gaes,teman teman
guys,teman teman
daku,aku
makasihhhh,terima kasih
thanks,terima kasih
ngaku,mengaku
jalanin,menjalani
open,buka
cctv,kamera pengawas
guk,tidak kredibel
dst,dan seterusnya
waktumomentren,waktu dan momen
template,templat
jelekin,menjelekkan
jelekan,menjelekkan
nach,nah
nyangka,menyangka
moment,momen
hut,hari ulang tahun
pn,pengadilan negeri
to,ke
president,presiden
berataan,bersatu
tamakan,termakan
kpunya,komisi pemilihan umumnya
putrn ,putaran
slama,selama
event,peristiwa
cebonk,cebong
pujaanny,pujaannya
penyelenggaraka,penyelenggaraan
rasane,rasanya
kemensesneg,kementerian sekretariat negara republik indonesia
bbrp,beberapa
tangkep,tangkap
ditangkep,ditangkap
ditangakep,ditangkap
ngumumin,mengumumkan
berhalan,berhalangan
sekolam,satu kolam
ngerusak,merusak
ngerusakin,merusak
ngerusahkin,merusak
scra,secara
prbaiki,perbaiki
bareskrim,badan reserse nasional
it,itu
nuduh,menuduh
server,jaringan
datacenter,pusat data
lha ya iya,lah iya iya
ikutin,mengikuti
ikuttt,ikut
nyebelin,menyebalkan
ngeselin,menyebalkan
klmpk,kelompok
klmpok,kelompok
brsuara,bersuara
hnya,hanya
bntuk,bentuk
kkcewaan,kekecewaan
akdmisi,akademisi
prnrwirwan,purnawirawan
dibrbagai,diberbagai
smua,semua
trun,turun
jln,jalan
hsri,hari
tinjalo,tinja kau
bgmn,bagaimana
gmn,bagaimana
gimanaaa,bagaimana
kasian,kasihan
jeblok,jatuh
jebloskan,menjatuhkan
shg,sehingga
membikin,membuat
pembelot,pengkhianat
kgb,komite keamanan negara
russia,rusia
jurkamnas,juru kampanye nasional
heh,he
form,formulir
c,sih
mindset,pola pikir
prodeo,penjara
lambe,mulut
alaaah,alah
selalundi,selalu di
yaudah,ya sudah
curangin,mencurangi
dokonfirmasikan,dikonfirmasikan
kpd,kepada
narsumnya,narasumbernya
subyektifitasnya,subjektifitasnya
pemrednya,pemimpin redaksinya
misleading context,konteks yang menyesatkan
sorry,maaf
im sorry,saya minta maaf
milih,pilih
ayokk,ayo
ayok,ayo
nyok,ayo
ayoo,ayo
ayooo,ayo
terseluhung,terselubung
situ,anda
like,menyukai
embel,pengaruh
block,blokir
you,kamu
can,bisa
believe,percaya
but,tetapi
accept,menerima
dont,jangan
be,menjadi
banyakan,kebanyakan
haluu,halusinasi
tak botak,botak botak
jilat,menjilat
kluarga,keluarga
icw,indonesia corruption watch
mentudutkan,menyudutkan
menturuh,menyuruh
idependent,mandiri
benerbener,benar benar
greget,gereget
nanggepin,menanggapi
ust,ustad
fairness,keadilan
ngalihkan,mengalihkan
massive,besar sekali
iyaiya,iya iya
nganten,pengantin
ngedukasi,mengedukasi
ngaca,berkaca
ono,itu
noh,itu
kemakan,termakan
praktek,praktik
initakut,ini takut
ksatria,kesatria
fpuib,forum persaudaraan umat islam banten
adian,kejadian
timses,tim sukses
percayan,mempercayai
fypnya,halaman utamanya
hujannin,dihujani
tweet,cuitan
twit,cuitan
kabid,ketua bidang
humas,hubungan masyarakat
divhumas,divisi hubungan masyarakat
control,kontrol
yakiinn,yakin
modelan,tipe
tkg,tukang
sii,sih
ditangkep,ditangkap
vidio,video
vid,video
pimpin,memimpin
kondisivitas,kondisi
plinplan,berpendirian tidak tetap
publish,menerbitkan
hadeuh,aduh
duh,aduh
kerudungan,berkerudung
adek,adik
full,penuh
case,kasus
positive,positif
bookmark,simpan
thumbnail,pratinjau
baguss,bagus
rakyattolak,rakyat tolak
hakangket,hak angket
aaah,ah
jni,ini
bosen,bosan
salaf,pendahulu
anyar,baru
lae,kamu
laen,lain
fakcta,fakta
kdpn,ke depan
sbgian,sebagian
pelksanaan,pelaksanaan
melaksanskan,melaksanakan
menlaksanakan,melaksanakan
tupoksinya,tugas pokok dan fungsinya
pean ,kamu
askinya,aslinya
hobby,hobi
trn,turun
den,raden
sjw,pejuang keadilan sosial
alus,halus
dipiara,dipelihara
changed,berubah
ngejer,mengejar
nyulik,menculik
pangkep,pangkajene dan kepulauan
lwt,lewat
fanboy,penggemar fanatik
banggatak,bangga tak
duluhasilnya,dahulu hasilnya
thnmau,tahun mau
kolapkrn,kolaps karena
kangambarfoto,kan gambar foto
kpulangsung,komisi pemilihan umum langsung
negri,negeri
layer,berlapis
bergandengan,berpegangan
orkay,orang kaya
holder,penahan
olokolokan,olok olokan
advent ,kedatangan
bocoor,bocor
lanang,laki laki
wkt,waktu
semaleman,semalaman
mantengin,memantau
palestine,palestina
dibubarin,dibubarkan
kit,kita
asambut,sambut
mesti,musti
cakep,bagus
latih,melatih
nyambung,menyambung
hoaxbenar,hoaks benar
palsuhoax,palsu hoaks
setujudisuruh,setuju disuruh
salamjari,salam jari
sesatitulah,sesat itulah
otangtua,orang tua
itutentu,itu tentu
masang,memasang
batol,bodoh
kibulisasisiapa,pembohongan siapa
ehh,eh
eehhhh,eh
tuhhh,tuh
testing,pengujian
uat,pengujian penerimaan pengguna
nak,anak
laa,lah
igh,ih
system,sistem
fak,persetan
anjirrrrr,anjing
anjir,anjing
njirr,anjing
njir,anjing
jr,anjing
jir,anjing
ajg,anjing
lonteee,pelacur
tolol x ,sangat bodoh
tulul,sangat bodoh
goblok,bodoh sekali
bacot,banyak bicara
bgstttttt,bangsat
kampungan,terbelakang
bego,sangat bodoh
sempak,celana dalam
kontol,zakar
tolol,sangat bodoh
mampus,mati
dongok,dungu
goblog,bodoh sekali
anjer,anjing
taik taik,tinja tinja
anjirlah,anjinglah
demn,berengsek
eneg,mual
news,berita
taber,populer
maximal,maksimal
masukin,memasukkan
sedulurr,saudara
pemilu,pemilihan umum
building,gedung
date,tanggal
tuesday,selasa
october,oktober
time,waktu
pm ,waktu indonesia bagian barat
location,lokasi
hybrid,hibrida
gamau,tidak mau
kapolres,kepala kepolisian resor 
fia,fakultas ilmu administrasi
gmw,tidak mau
mag,magnitudo
campignhoax,kampanye hoaks
msyarakat,masyarakat
pulik,publik
berhatihatilah,berhati hatilah
mempengaruhi ,memengaruhi 
ciriciri,ciri ciri
bersamasama,bersama sama
sendisendi,sendi sendi
berhatihati,berhati hati
amp,dan
mensukseskan,menyukseskan
ajadeh,aja deh
mimin,admin
a,atau
berit,berita
divisihumaspolri,divisi humas kepolisian republik indonesia
hoax,hoaks
musti,mesti
lawanhoaxpemilu,lawan hoaks pemilihan umum
demokrasimenyebarkan,demokrasi menyebarkan
brjln,berjalan
kasuskasus, kasus kasus 
bnr,benar
pinterpinter,pinter pinter
terheranheran,terheran heran
nderr,pengirim
kiatkiat,kiat kiat
warganet,warga internet
bisabisanya,bisa bisanya
jokopak,pak joko
bertanyatanya,bertanya tanya
lantaranhoaks,lantaran hoaks
setiadimembernarkan,setiadi membernarkan
h,hari
hatihati,hati hati
bo,booking out
rusakin,merusak
lgd,diskusi tanpa pemimpin
tm,rapat teknis
tournament,turnamen
ml,mobile legend
i,satu
ii,dua
mulyono,jokowi
syaitan,setan
cantikcantik,cantik cantik
temanteman,teman teman
cebong,pendukung jokowi
antek,pendukung
didunia,di dunia
loe,kamu
kau,kamu
dimanamana,dimana mana
halhal,hal hal
beginiapalagi,begini apalagi
sombongangkuh,sombong angkuh
gembirakok,gembira kok
black,hitam
campaign,kampanye
toch,toh
bohooonk,bohong
brti,berarti
brookk,bro
hoaxberita,hoaks berita
salahsatu,salah satu
adl,adalah
hitamamppolitik,hitam dan politik
berikansuarauntukpemimpin,berikan suara untuk pemimpin
ahkalo,kalau
bowo,prabowo
dariuntuk,dari untuk
masingmasing,masing masing
demiallah,demi allah
yakni?ya,yakni iya
ini?,ini
mentalkalau,mental kalau
witjaksonoterkait,witjaksono terkait
mkmk,mahkamah konstitusi
diotak atik,diotak atik
ujujur,jujur
capekcapek,capek capek
bohongbohongan,bohong bohongan
datadata,data data
bohonganeh,bohong aneh
pecatkasus,pecat kasus
tauapalagi,tahu apalagi
ank,anak
bawasluri,badan pengawas pemilihan umum republik indonesia
jua,juara
bohongiya,bohong iya
banggahasil,bangga hasil
belaka iya,belaka iya
bui,penjara
cantum,tercantum
gibrunlihat,gibran lihat
bodohnegara,bodoh negara
bkn,bukan
beritaberita,berita berita
bohongpresiden,bohong presiden
lu,kamu
awalmau,awal mau
bohongalesannya,bohong alasannya
mkyg,mereka yang
dulusemudah,dulu semudah
kusampei,saya sampaikan
nyalong,nyalon
dng,dengan
ko,kok
ato,atau
publikjgn,publik jangan
lo,kamu
mu,kamu
pemilupilpres,pemilihan umum pemilihan presiden
kuncinyakrn,kuncinya karena
lnmau,luar negeri mau
lagiviralkan,lagi viralkan
mbok,sebaiknya
sajasetelah,saja setelah
pemiluini,pemilihan umum ini
tuk,untuk
membodohin,membodohi
ummat,umat
mainmain,main main
watch,jam
sp,siapa
culikham,culikham
sbypdahy,susilo bambang yudhoyono pada agus harimurti yudhoyono 
stuju,setuju
sam,sama
wapres,wakil presiden
ngerogoh,memasukkan tangan ke
kocek,kantong
surpay,supaya
dejavu,pernah merasa
ite,undang undang informasi dan transaksi elektronik
konstitusihukum,konstitusi hukum
jasmanirohani,jasmani rohani
menclamencle,tidak dapat dipercaya
king,raja
of,dari 
life,kehidupan
service,pelayanan
loveitulah,cinta itulah
part,bagian
gua,saya
