username,clean_text_fix,label
skqyy,hindari berita palsu informasi merusak mari jaga pemilihan kebijaksanaan,nonhoaks
Humasressanggau,berhati hati berita hoaks informasi palsu periode pemilihan pemilihan pemilihan rawan dimanipulasi menyebarkan informasi mempengaruhi opini publik,nonhoaks
PolresBengkaya1,berhati hati berita hoaks informasi palsu periode pemilihan pemilihan pemilihan rawan dimanipulasi menyebarkan informasi mempengaruhi opini publik,nonhoaks
polseksatui,waspada hoaks ujaran kebencian jelang pemilihan sobat siber termakan berita palsu disinformasi medium sosial,nonhoaks
BORNEONEWS,kepala kepolisian daerah kalimantan tekankan antisipasi penyebaran berita palsu pemilihan,nonhoaks
reslandak,lawan hoaks pemilihan langkah informasi masyarakat akurat menyesatkan hoaks berita palsu mempengaruhi persepsi publik memicu ketegangan memengaruhi hasil pemilihan,nonhoaks
Humasressanggau,lawan hoaks pemilihan langkah informasi masyarakat akurat menyesatkan hoaks berita palsu mempengaruhi persepsi publik memicu ketegangan memengaruhi hasil pemilihan,nonhoaks
humaspolresptk,lawan hoaks pemilihan langkah informasi masyarakat akurat menyesatkan hoaks berita palsu mempengaruhi persepsi publik memicu ketegangan memengaruhi hasil pemilihan,nonhoaks
PolresBengkaya1,lawan hoaks pemilihan langkah informasi masyarakat akurat menyesatkan hoaks berita palsu mempengaruhi persepsi publik memicu ketegangan memengaruhi hasil pemilihan,nonhoaks
Polres_RL1,indonesia negeri permai rakyatnya senyum lesu menciptakan pemilihan damai ayo lawan berita palsu sumber,nonhoaks
SKlungkung,kepala kepolisian resor klungkung mengimbau masyarakat memperkuat persatuan kesatuan mudah terprovokasi berita palsu menyukseskan pemilihan damai,nonhoaks
PKlungkung,kepala kepolisian resor klungkung mengimbau masyarakat memperkuat persatuan kesatuan mudah terprovokasi berita palsu menyukseskan pemilihan damai,nonhoaks
WakatobiHumas,hoaks merusak reputasi ancam keamanan publik hoaks ancaman serius merusak reputasi individu kelompok institusi senin konteks pemilihan damai penyebaran berita palsu membahayakan integritas prose demokrasi,nonhoaks
wotasepur,hoaks grup whatsapp keluarga jelang pemilihan orang percaya menyebar berita palsu,hoaks
SiHumasBatu,indonesia negeri permai rakyatnya senyum lesu menciptakan pemilihan damai ayo lawan berita palsu,nonhoaks
CCICPolri,indonesia negeri permai rakyatnya senyum lesu menciptakan pemilihan damai ayo lawan berita palsu,nonhoaks
polresta_manado,ganggu pemilihan berita palsu,nonhoaks
Riaumakmurcom,warga kampar diajak tangkal berita palsu pemilihan lawan hoaks kepala kepolisian sektor bangkinang barat,nonhoaks
annisawidi,sumpah lelah banget memantau lini berita klarifikasi kekerasan rumah tangga palsu berita selingkuh discord berita palestina persetan israel pemilihan propagandis kera kepala berita santet anak anak allah tidur aja,hoaks
ANDIEbaket18,hindari menyebarkan berita palsu hoaks pemilihan sumber,nonhoaks
CCICPolri,hindari menyebarkan berita palsu hoaks pemilihan,nonhoaks
KIPAbes,sosialisasi bertujuan pemahaman mendalam pemilih pemula terkait prose pemilihan serentak partisipasi prose demokrasi menghadapi berita palsu hoaks muncul periode kampanye pemilihan,nonhoaks
debannan,edukasi literasi digital masyarakat memahami mengidentifikasi hoaks informasi palsu dunia digital kemampuan mengurangi dampak negatif penyebaran berita palsu mari sambut pemilihan riang gembira damai,nonhoaks
polres_sikum,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi membagikan,nonhoaks
the1flash474996,setuju disuruh mengeluarkan hasil survei minggu pencoblosan hasil survei beda hasil pemilihan wajib dibubarkan maksimal dituntut muka pengadilan tuduhan berita penggiringan palsu kebohongan publik,hoaks
SultraKini_,badan pengawas pemilihan sulawesi barat amsi mou perkuat pengawasan pemilihan langkah strategis melawan hoaks berita palsu,nonhoaks
reskarangasem,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi,nonhoaks
drapetommania,peretas memasukkan situs badan pengawas pemilihan jual obat ilegal bikin kegaduhan ngarang berita palsu merusak data terkait pemilihan,hoaks
llunamovas,peretas bobol situs badan pengawas pemilihan jual obat ilegal bikin merusak data nyebarkan berita palsu pemilihan,hoaks
taniayrs,peretas menyebarkan berita palsu merusak data terkait pemilihan menggoyahkan fondasi keamanan keadilan prose demokrasi,hoaks
reaasilva,takutnya peretas menyebarkan berita palsu merusak data terkait pemilihan menggoyahkan fondasi keamanan keadilan prose demokrasi,hoaks
Rezamaliqp,mari sukseskan pemilihan damai mudah termakan berita palsu sumbernya,nonhoaks
RcyberProj0,kementerian komunikasi informasi budi arie disinformasi pemilihan diantisipasi mencontohkan kekacauan pemilihan negara akibat berita palsu,nonhoaks
detikcom,kementerian komunikasi informasi budi arie bicara kekacauan pemilihan negara akibat hoaks kementerian komunikasi informasi disinformasi pemilihan diantisipasi mencontohkan kekacauan pemilihan negara akibat berita palsu,nonhoaks
dairi_polres,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi membagikan,nonhoaks
SelatanKuta,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa ajang pemilihan melawan beredarnya berita palsu hoaks dibutuhkan andil lapisan masyarakat memahami,nonhoaks
_Rajawalinews,selamat malam kesayangan admin ayo berpantun indonesia negeri permai rakyatnya senyum lesu menciptakan pemilihan damai ayo lawan berita palsu sleman gunung merapi ade armando selingkuh,hoaks
humaspolresban2,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil masyarakat menyaring kebenaran informasi membagikan,nonhoaks
SiHumasBatu,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi membagikan,nonhoaks
ANDIEbaket18,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa ajang pemilihan melawan beredarnya berita palsu hoaks dibutuhkan andil lapisan masyarakat memahami sudut pandang sumber,nonhoaks
KintamaniPolsek,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa ajang pemilihan melawan beredarnya berita palsu hoaks dibutuhkan andil lapisan masyarakat memahami,nonhoaks
banjarangkan,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa ajang pemilihan melawan beredarnya berita palsu hoaks dibutuhkan andil lapisan masyarakat memahami sudut pandang,nonhoaks
SKlungkung,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa ajang pemilihan melawan beredarnya berita palsu hoaks dibutuhkan andil lapisan masyarakat,nonhoaks
PolsekKarangas1,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi,nonhoaks
PolsekSelemadeg,informasi hoaks beredar berdampak persatuan kesatuan bangsa pemilihan melawan beredarnya berita palsu hoaks dibutuhkan andil lapisan masyarakat memahami sudut pandang berita menyaring kebenaran informasi membagikan,nonhoaks
HKerambitan,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa ajang pemilihan melawan beredarnya berita palsu hoaks dibutuhkan andil lapisan masyarakat memahami sudut pandang,nonhoaks
Polres_Ngr_Rai,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa ajang pemilihan melawan beredarnya berita palsu hoaks dibutuhkan andil lapisan masyarakat memahami sudut pandang berita,nonhoaks
polsek_rendang,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi membagikan,nonhoaks
AXLDIGITAL,medium dipenuhi berita orang kaget langkah jokowi kaget jokowi presiden palsu pemilihan komisi pemilihan ilegal pemilihan rakyat sah solutif menang,hoaks
pemkab_gresik,seruan moral majelis ulama indonesia mewujudkan pemilihan bahagia wajib mematuhi peraturan undang undang hak pilih keyakinan nurani akal sehat menjatuhkan memfitnah mengadu domba menyebarluaskan berita palsu,nonhoaks
Polres_simal,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi membagikan,nonhoaks
Samapta_Bireuen,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi,nonhoaks
LoriGib89080343,pemilihan sukses penyebaran berita palsu hoaks,nonhoaks
PolresPalangka,informasi palsu beredar berdampak persatuan kesatuan bangsa pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi sumber,nonhoaks
sitik_GYR,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi,nonhoaks
PolsekSela38649,divisi humas kepolisian republik indonesia informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan lawan berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi,nonhoaks
sihumasrespct,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi,nonhoaks
PolsekGianyar1,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi,nonhoaks
POLSEKTGLL_15,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi,nonhoaks
KebumenBinmas,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi membagikan,nonhoaks
kolasedotid,kompetisi video anti hoaks pemilihan masyarakat berpartisipasi memerangi penyebaran berita palsu,nonhoaks
arizaldaeng,kompetisi video anti hoaks pemilihan masyarakat berpartisipasi memerangi penyebaran berita palsu,nonhoaks
Polsek_Kalidoni,informasi palsu hoaks berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi membagikan,nonhoaks
Res_Pel_Belawan,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi membagikan,nonhoaks
kainbasa,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi membagikan,nonhoaks
HTegalbarat,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks,nonhoaks
polres_wonosobo,informasi palsu hoaks beredar berdampak persatuan kesatuan bangsa kontestasi pemilihan melawan peredaran berita hoaks dibutuhkan andil lapisan masyarakat menyaring kebenaran informasi,nonhoaks
yumidew,banget pemilihan rawan banget berita palsu,nonhoaks
handokotjung,anak twitter kalah anak instagram anak instagram mengunggah cerita pakai menyaring bagus mencuit musti disaring pemilihan suka berita palsu cek akun instagram literasi digital komunikasi informasi,nonhoaks
dvaggta,termakan hoaks zaman serba digital berita palsu teliti gampang percaya pemilihan sebentar ayo lawan hoaks pemilihan,nonhoaks
YeonAera1,banget termakan hoaks era pemilihan tetaplah netizen cerdas mengakses berita mari lawan hoaks pemilihan masyarakat nerima berita palsu,nonhoaks
febbvibes,banget warga negara pintar memilah berita lawan hoaks pemilihan zaman maju berita palsu sebar mudah,nonhoaks
law_asta96,lawan hoaks pemilihan teman teman menyiasati berita palsu percaya pinter pinter nyaring informasi pemilihan berjalan lancar aman,nonhoaks
thv_veee,hoaks membahayakan ayo lawan hoaks pemilihan masyarakat menerima berita palsu,nonhoaks
bntgyeyy7,waspada berita berita palsu mari lawan hoaks pemilihan,nonhoaks
HumaspolresKaur,berhenti berita palsu hoaks memicu perpecahan masyarakat mari informasi edukasi masyarakat mewujudkan pemilihan damai sejuk,nonhoaks
PolrestaMgl,wajib taktik penyebaran berita palsu taktik menyebarkan berita hoaks diwaspadai popular pemilihan,hoaks
KPU_PapuaBarat,menolak berita palsu hoaks menjaga integritas identitas pelaksanaan pemilihan rapat pleno berjalan aman tertib mencerminkan kerja kera pemilihan berjalan,nonhoaks
khoirul_mh85466,menyikapi komentar negatif mencatut nama prabowo subianto menghadapi mendekati pemilihan merasakan lonjakan komentar negatif berita palsu hoaks seringkali mencatut nama prabowo subianto djojohadikusumo,hoaks
PulungPolsek,waspada hoaks ujaran kebencian jelang pemilihan sobat siber termakan berita palsu disinformasi medium sosial,nonhoaks
aprianto_fi2,hindari berita palsu informasi merusak mari jaga pemilihan kebijaksanaan,nonhoaks
MS_9NIPAR,bikin terheran heran ma bergabung gerombolannya berita ijazah palsu partai komunis indonesia keturunan partai komunis indonesia pendukung jokowi pendukung asing pendukung cina tercengang terdengar pa pemilihan kencang disemburkan,hoaks
anggun_herum,hindari berita palsu informasi merusak mari jaga pemilihan kebijaksanaan,nonhoaks
asu_yono,mantan teknik sosial kultural keterangan palsu mahkamah konstitusi tim hukum tim hukum anies memutar video berisi berita potongan video pernyataan jokowi pemilihan ketua mahkamah konstitusi video diberhentikan,hoaks
_Alone_Warrior_,pemilihan turki minggu pemilihan politisi terkadang melontarkan tuduhan palsu menjatuhkan lawannya berita salah satunya,hoaks
Florence_Z1,dinamika tanggapan masyarakat komunikasi politik anies baswedan menanggapi berita palsu pemilihan tanggapan masyarakat komunikasi politik anies baswedan menanggapi berita hoaks pemilihan,nonhoaks
Florence_Z1,coba bantu pengirim analisis respons publik komunikasi politik anies baswedan menghadapi hoaks pemilihan persepsi masyarakat strategi komunikasi politik anies baswedan menyikapi berita palsu pemilihan,nonhoaks
bisma_fuad,hindari berita palsu informasi merusak mari jaga pemilihan kebijaksanaan,nonhoaks
0xIndoPride,terprovokasi teliti informasi menyebarkan berita palsu hasil pemilihan komisi pemilihan bijak cermat menerima menyebarkan informasi politik,nonhoaks
LatihLogika,prose pemilihan waspadai informasi palsu marak kecerdasan buatan canggih pelajari kiat kiat kriti membaca berita kursus daring melatih logika,nonhoaks
hiyatul_kinara,hindari berita palsu informasi merusak mari jaga pemilihan kebijaksanaan,nonhoaks
Widyarahmatarif,percaya berita palsu keputusan pemilihan rakyat tolak hak angket,nonhoaks
Jennife83085830,masyarakat diharapkan berpartisipasi pasca pemilihan pencarian berita palsu hoaks,nonhoaks
dimaswalid091,bang rada lelah lihat berita keajaiban pa pemilihan kali berita keajaiban palsu,hoaks
ATazania123,dokter pratama persadha pakar keamanan siber kondisi pasca pemilihan pemerintah berkejaran konten hoaks berita palsu berita palsu berbahaya asupan utama netizen warga internet tanah air,nonhoaks
AmaraSalsh43,dokter pratama persadha pakar keamanan siber kondisi pasca pemilihan pemerintah berkejaran konten hoaks berita palsu berita palsu berbahaya asupan utama netizen warga internet tanah air,nonhoaks
claudiacaa_,bisanya menemukan unggahan acak facebook netizen curhat ditipu calon anggota legislatif liontin palsu baca berita calon anggota legislatif liontin senilai ribu menyambung area daerah pemilihannya,hoaks
KathPuertoson,dibaca cari hoaks disingkapkan dokter berita palsu foto joko basuki dinas pekerjaan penataan ruang pemilihan,hoaks
atipsthahir,pengaturan qodari master perencana wajib tangkap dikenakan hukum pidana pemufakatan jahat penyebaran berita palsu hasil pemilihan memenangkan dipaksakan prabowo gibran diatur tanggal januari hasil pemilihan tangkap qodari,hoaks
bedul_david,rakyat percaya berita bohong hasil pemilihan palsu,hoaks
Tyokazu09,pemilihan sebar berita palsu lucunya dicek kebenarannya kadang suka bikin jengkel kecuali bukti validnya,hoaks
VeYunanda,terjebak jeratan hoaks cegah penyebaran berita palsu pasca pemilihan,nonhoaks
humaspolresptk,memasuki pemilihan mari waspadai bentuk berita informasi bersifat hoaks provokatif palsu menciptakan pemilihan damai kalimantan barat,nonhoaks
tekarok007,rilis rilis tenang pemilihan menjadikan orang rilis kemarin orang nonton beda dimana ahok viral berita negatif munculnya film rayuan pulau palsu bikin orang penasaran,hoaks
RadioSmartFM,lantaran hoaks berita palsu periode pemilihan menteri komunikasi informatika indonesia budi arie setiadi membenarkan situasi kali tenteram budi tampil pemilihan tenteram dibanding,nonhoaks
sania_nzi,klarifikasi duta republik indonesia malaysia hermono tuduhan terkait keterlibatan intelijen pemilihan berita palsu hoaks mari memerangi penyebaran informasi,nonhoaks
SihumasResSkw,memasuki pemilihan mari waspadai bentuk berita informasi bersifat hoaks provokatif palsu menciptakan pemilihan damai kalimantan barat,nonhoaks
LAHBOY775458,menyikapi hoaks pemilihan mari tingkatkan kesadaran kebenaran integritas informasi melawan penyebaran berita palsu,nonhoaks
LAHBOY775458,menghadapi pemilihan mari tingkatkan literasi digital membedakan informasi sah hoaks penyebaran berita palsu merugikan,nonhoaks
kisp_id,muda bicara sesi langsung hadir mengisi tenang pemilihan pencoblosan potensi hoaks berita palsu disepelekan,nonhoaks
TukngsomaymasAA,penentu nyoblos bijak pemilihan jauhi berita palsu pilih suara,nonhoaks
Ali_alialjabar,mudah terprovokasi pemilihan berita palsu beredar cek menerima berita,nonhoaks
adecandra05,hati hati berita palsu menjelang pemilihan,nonhoaks
BobbieTrussell,langkah melawan hoaks pemilihan mendukung prose demokrasi aman damai mari bersatu terjerumus provokasi berita palsu,nonhoaks
NKRIndonesia79,perhatian indonesia mengadakan pemilihan salah pendukung calon presiden berita palsu taylor swift memanfaatkannya pengaruh video menyebarkan informasi salah salinan karbon,hoaks
KBMSulteng,pemilihan mari menjaga kualitas demokrasi hindari penyebaran informasi palsu ujaran kebencian sumber berita terpercaya,nonhoaks
humaspolsulteng,pemilihan mari menjaga kualitas demokrasi hindari penyebaran informasi palsu ujaran kebencian sumber berita terpercaya,nonhoaks
Jennycantika18,kedamaian pemilihan hasil kesadaran kolektif menolak berita palsu mendorong kerukunan menghindari perpecahan politik,nonhoaks
KaltaraBersatu,konflik berbasis suku agama ra antargolongan berita palsu mengancam integritas pemilihan,hoaks
akumahakuoke,berita palsu hitam pemilihan twitter payah dicampur booking out layanan seksual daring pendukung saluran kali anjing,hoaks
himaipa_uny,diskusi pemimpin leadership oktober aksos biru ceria oktober rapat teknis nse mobile legend turnamen oktober korsa nse mobile legend turnamen oktober temu sahabat pena oktober nse mobile legend turnamen oktober,nonhoaks
himaipa_uny,lini pendaftaran lomba september oktober pengumpulan karya september oktober pengumuman pemenang oktober penghargaan juara uang pembinaan sertifikat juara uang pembinaan sertifikat,nonhoaks
wrgSEUNGHUN,top populer selasa oktober indonesia barat ikutan main,nonhoaks
GedebagePolsek,berhenti provokasi mari wujudkan pemilihan kepala daerah aman damai sejuk,nonhoaks
himaipa_uny,fotografi dikirim format jpg jpeg karya dikirim formulir karya masuk prose seleksi tim redaksi pengiriman tanggal november indonesia barat,nonhoaks
ricko_liquid,memasuki kampanye pemilihan kepala daerah sekretariat daerah jepara aparatur sipil negara pelit,nonhoaks
diankrtn__,palsu pakai andai andai menggugat jokowi turun dipenjara,hoaks
puanjenaka,tertukar,nonhoaks
BANGSAygSUJUD,jaga kewarasan menjaga demokrasi sehat waspadalah setan pandai memainkan narasi salah salah waspadai perusak demokrasi teriak demokrasi dirusak orang alias maling teriak maling,nonhoaks
MayaA62580468,pergantian cabang pembantu komisi pemberantas korupsi desember jokowi buru ganti cabang pembantu komisi pemberantas korupsi,hoaks
adnanaysed,kasih berita hoaks pemilihan kepala daerah tolong pemilihan kepala daerah jakarta sumatra utara jawa barat,hoaks
kaleidoskopis,kebohongan publik,hoaks
gguk_kimm,penyangkalan,nonhoaks
ada_pohan,nama palsu ijazah palsu orang tua palsu sekolah menengah kejuruan palsu,hoaks
nawacitamedia,kementerian komunikasi informasi siapkan satuan tugas anti hoaks pemilihan kepala daerah serentak,nonhoaks
nawacitadotco,kementerian komunikasi informasi siapkan satuan tugas anti hoaks pemilihan kepala daerah serentak,nonhoaks
NAWACIT4,kementerian komunikasi informasi siapkan satuan tugas anti hoaks pemilihan kepala daerah serentak,nonhoaks
rutankarimun,ayo lawan korupsi memindai kode batang dibawah upaya pencegahan korupsi tujuan meningkatkan kesadaran risiko korupsi perbaikan sistem antikorupsi,nonhoaks
tirangsulatin,ayun,nonhoaks
kemalanina,ujaran merugikan mari serahkan berwenang memprosesnya sesuai hukum berlaku,nonhoaks
Ishyanin,hasilnya,nonhoaks
puanjenaka,salam kenal cantik namanya bagus banget jual gema main bandung banget mampir kasih gratis cantik cantik,nonhoaks
araeths,enak banget pilek bolo,nonhoaks
BmkgCilacap,peringatan gelombang wilayah samudra hindia selatan jawa barat jawa yogyakarta berlaku tanggal oktober indonesia barat tanggal oktober indonesia barat,nonhoaks
infoBMKG,update peringatan cuaca wilayah bangka belitung tanggal oktober indonesia barat prakirawan badan metereologi klimatologi geofisika bangka belitung,nonhoaks
araeths,getok kepalanya,nonhoaks
araeths,rezeki,nonhoaks
nyaaventurine,obrolan nyata palsu anjing,hoaks
himaipa_uny,catat tanggalnya teman teman september oktober donasi bank republik indonesia nama ratri pangestika dompet digital shopee nama ratri pangestika dana nama ratri pangestika ovo nama ratri pangestika,nonhoaks
fia_ui,tanggal selasa oktober jakarta pm jakarta standar greenwich terengganu pm jakarta gmt lokasi hibrida edisi auditorium miliar gedung fakultas ilmu administrasi universitas indonesia depok zoom meeting,nonhoaks
Polresbanjarjbr,kepolisian sektor cileungsi giat upaya menenangkan situasi tokoh agama tokoh masyarakat himbauan jaga keamanan ketertiban masyarakat wilayah binaan pemilihan kepala daerah serentak,nonhoaks
Sekcaringin,himbauan mendukung pelaksanaan pemilihan kepala daerah serentak aman damai mewujudkan sukabumi aman tentram kondusif,nonhoaks
Polresbanjarjbr,berhenti provokasi mari wujudkan pemilihan kepala daerah aman damai sejuk,nonhoaks
SantaiTerooos,waspada berita palsu hoaks menjelang pemilihan,nonhoaks
raffaelkavindra,pemilihan penyebar hoaks berita palsu berita palsu bertebaran,hoaks
MellisA_An,hoaks narasi informasi berita palsu bohong presiden presiden kampanye berbondong memasang konten petitum undang undang pemilihan mengatur sesat hoaks silahkan dicerna,hoaks
Muhamad87464293,bikin rusak pemilihan ngasih berita palsu,hoaks
poldabengkulu,waspada hoaks ujaran kebencian jelang pemilihan sobat kepolisian negara republik indonesia termakan berita palsu disinformasi medium sosial silahkan disimak sobat kepolisian negara republik indonesia,nonhoaks
SKlungkung,kepala kepolisian resor klungkung mengimbau pemilihan damai berhenti hoaks berita palsu merusak integritas pemilihan,nonhoaks
PolsekNusa,kepala kepolisian resor klungkung mengimbau pemilihan damai berhenti hoaks berita palsu merusak integritas pemilihan,nonhoaks
siwasresklk,kepala kepolisian resor klungkung mengimbau pemilihan damai berhenti hoaks berita palsu merusak integritas pemilihan,nonhoaks
diyamed2,hasil pemilihan presiden besok bohong dunia international indonesia cepat dunia hasil pemilihan,hoaks
the1flash474996,hasil pemilihan beda hasil survei wajib bubar lembaga survei terbukti menyebarkan berita bohong penyesatan publik,hoaks
Fajar_otoy,kuat buktikan hasil survei mengeklaim kaum kuasa allah kehendak hasil berbeda hasil survei pemilihan pesta rakyat pesta survei bayaran paham,hoaks
FaqihSyahrir,jokowi pemilihan putaran perpanjang bantuan diperpanjang juni bilang juli kecurangan dibiasakan bohong ayo gas banget salam jari,hoaks
nurkholiswyd,persen kejujuran juru kampanye orator unggahan medium sosial persen bohong persen porsi ngarang menjual calon presiden calon wakil presidennya kampanye hitam lawannya hiruk pikuk pemilihan presiden pemilihan,hoaks
akubknpelarian,kakak pemilihan bohong banget putaran,hoaks
malik_saifudinn,mari menjaga pemilihan sehat menyebarkan berita bohong kebencian,nonhoaks
Bachtiarchoy,partai demokrasi indonesia perjuangan marah undang undang dasar pemilihan rekam jejak bohong,hoaks
Effendi65505,bohong bohong tepati janji pemilihan,hoaks
themuunnn,bohong banget kakak anggaran pemilihan komisi pemilihan pusat nasional buktinya taat aturan komisi pemilihan republik indonesia,hoaks
Chellachill,semenjak bubar tenteram keluarga bohong efek pemilihan kemarin hambar keluarga,hoaks
budiwidagdo2,popularitas ramai dimana bukti survei survei bohong cuman modus pembenaran kecurangan menaikkan perhitungan suara pemilihan,hoaks
YumaAr_,kampanye mendidik bersaing bikin berita bohong fitnah sukses pemilihan damai jujur penyebar hoaks berita palsu,nonhoaks
